lyric,class
"Show a lil' attitude, swap out the b****",0
I get two hundred racks every night for a show,0
"Surf, surf (Yeah), surf, surf (Rock)",0
Baby girl just wanna have fun with it (She wanna have fun),1
"f***, I'm lonely, I'm lonely, I'm lonely as",1
"It's empty when I give it back, now where's the uproar?",0
"Oohh, da du du du",1
Where you at? Where you at? Where you at?,1
I'm gonna ride 'til I can't no more,0
Rich n****s straight to the top floor (Top),0
That's just the way I am,1
"Won't lie, I'd go back to you",1
Y hacer el intento,1
You don't know 'bout nothin',0
You just need to stay close to your people that was there when others could've been,0
"And the car could get from A to B, but won't impress ya",0
'Cause all my n****s got it out the streets,0
You're to blame,1
"Started off small, now they payin' me double",0
"I do not snort powder, I might take a sip",0
Give a f*** what a n**** got if he ain't givin' it,0
"Oh, I hear you like fast cash (Fast cash)",0
"On my lil' boy, n****",0
"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0
"Gucci my mum, while you diddle your thumbs",0
"Don't even know how to help, but I guess that's just the motion, yeah",0
Mai bhejje pe deta hu,0
At least I can say I wrote every rap I spit,0
Somebody pop all day (hol' up),0
"Maybe I'm dramatic, I don't wanna seem it",1
"Lay it all, lay it all",1
"When it's past 11, that's a different side I see (A different side)",0
"But you ain't want me last year, so just get up out my face",0
"I came from rags to riches, I'm the s***",0
"I can't do this on my own, ayy, no, ayy",0
It's bigger than black and white,0
"I ain't givin', so don't ask, I don't lend my body",0
Now you got me missing you,1
"Oh, this b**** recordin'?",0
"Now she want a butt lift, now she want some LASIK",0
"That he put the hit out that got Pac killed, ah!",0
"The very next day (Oh), you sent me a text (Oh)",0
Are you in your house? Are you going out?,1
I need somebody now,1
"(Ya ya ya, ya ya, ya ya)",1
What is Santa bringing?,0
They said I would never make it,1
"I can't stop, keep goin'",0
"She wanna f***, but I ain't even got a condom (Got a condom)",0
You want somebody that'll keep you warm at night,0
"Body roll, waist roll, waist roll",0
"Now I don't know me, who are you?",1
You know what she told me?,1
"n****, just quit all that actin' tough",0
"They be beggin' me to keep the b****, but I don't need the b****",0
"'Bout a check, yeah (Check), just check the foots, yeah",0
"I broke up with my redbone, I went the milky way",0
Surrounded and up against a wall,1
It's written like your name on a flyer,1
You know you can get whatever you want from me,1
"Penthouse view, left some flowers in the room",1
"While at my nana house I play the couch, starin' at the ceiling",0
"f*** don't kiss, f***, she f*** don't kiss (Mwah)",0
Scared and I'm gripping the grain (Surf),0
"Feelin' so high, but too far away to hold me",1
"I used to be down, down, down, down",0
Just left the lab with young 21 Savage,0
"Big old .40 on me, back packin' again (Grraow, hey)",0
"Trippin' on skies, sippin' waterfalls",1
"Oh I'm gonna love you now, like it's all I have",1
"Oh well, f*** 'em, dawg, we gon' see how hard they ride (Huh, f*** 'em)",0
It was picture perfect,1
But she's looking at,1
"I love that girl to death, as we get old, our feelings change",0
"She said, ""Lil Uzi, hello""",0
"Red light, green light",1
"I got new rules, I count 'em",1
No one can slow me down,0
"I can work a miracle, work a miracle",1
"That's my f***ing brother right there, ya dig?",0
"She a big ol' freak, it's a must that I hit",0
The time we spend apart will be a memory some day,0
"Pop my s***, Rolls truck my driveway",0
"But they do it for the twins, free Lil Corey and Lil Christian",0
"Tryin' to be the old you so bad, you Stan yourself (Ha)",0
"Hundred killas, hundred hammers",1
"This is not the end, this is not the end",1
Got this feeling in my body,1
"I'm back up from the ground, like the dead, In a coffin",0
Who you know wear designer with Nike? (Me),0
Isn't it amazing,1
Like a fool for dreaming,1
Beat strangler attack,0
"Need the rump and need the thighs, he eat that",1
"I miss Big Dump like my granny, we still at war 'bout my cousin",0
I like you 'cause you cut how I'm cut too,0
In the place that feels the tears,1
You know what I'm sayin'?,0
"You'll be talkin' 'bout Fetty Wap, better call Diddy",0
So you can call it a nostril 'cause it's not gonna ever,0
We're in the homestretch of the hard times,1
"Kick in your door, that's SWAT, you t*** (Pop)",0
"Twelve hundred horsepower, I get lost in the wind",0
"Hold on (hold on), hold on (hold on), hold on",1
Happy birthday to that b**** (b****),0
"(Taste, taste), Miami, you can get a taste",0
"Then my n****s shootin' up the Phantom (Bah, bah, bah)",0
"And tonight I'm alive, ain't no dollar sign",1
But everything means nothing if I can't have you,1
Bustin' out the roof,0
"On the futon, I'ma give her that penis",0
"Sorry, I ain't sorry",1
"In the thick of healing, yeah",1
I'm ready for whatever it takes,1
"I know the problem, yeah yeah",0
"From the gutter (Gutter), rap saved me (Rap)",0
"Flo Rida, My House",1
"I want all of the beef, I am not vegan",0
"Let's go, let's go",1
"Let me, let me take this call real quick",0
Bounce it up and down where the good Lord split it,1
And then I hope she cheats,1
Then shoot your producer (Yeah),0
"I'm nasty, I'm evil",1
"I call him Ricky, he say he love me like Lucy",0
"Four, four, four, four (Four, skate)",0
Sometimes our loved ones don't love us,0
This is what you call a flip,0
Watch out the lyrics and the songs might get twisted,0
I'm confused tryna figure out how to do Kapri Styles and Mya G,0
Pinkie ring covered in gold (Ooh),0
Said I ain't never forgotten not a soul worth remembering,0
Even when I hit my forties like a f***in' alcoholic,0
"JB, know I mean",0
"Cussed me out and stormed off like ""Alright then"" (uh)",1
"Yes, deep inside",1
Rose gold seats on a f***in' helicopter,0
"b****, don't steal my man",1
"Whenever, wherever, OVO will always be together like Shakira",0
"New finger rings hit like a sink (Yeah, yeah)",0
"In the bed all day, bed all day, bed all day",1
"Givenchy shoes, I came a long way from Ralph Lauren",0
I mailed the b**** back and said if I did that,0
"To my lover, I'd never lie",0
"For every weekend, I blew off my best friends",1
Look who I'm f***in' again,0
"b****es be talkin' s***, but they ain't got a pot to piss in",0
We don't wanna go back what we been through,0
"Had to put the stick in the box, mmh",0
"Over that bag, they mad",0
"Yeah, that's right",0
"No, I don't fear no more",1
Tonight we are victorious,1
"These brand new, don't step on my Balenci's",0
"Just for the night, for the night",1
But it's too late to turn around,1
"24 karat, 24 karat magic",1
Then you cross me,1
At least we stole the show,1
"I stayed down lately, shawty, I'd die for you",0
"Shawty know to drop it low like a limbo every time we kick it like Timbo, woah, woah, woah",0
Y'all don't think I can run it,1
"Killin' these beats, yeah, Lil Uzi a serial",0
"Oh, I've been dreamin' 'bout it",1
And if you like midnight driving with the windows down,1
NASA takeoff with the rocket (NASA),0
I know how to scream out the words,1
"And I know there's no making this right, this right (Yeah)",1
You should know you're beautiful just the way you are,1
"Everybody sittin' at the table 'round here, yeah",0
"Baby, you got me like ""Oh""",1
"Man, these boys ain't believe me",0
'Cause I'm a sucker for ya,0
"Get some guap, guap, get some chicken",0
I know that you'll get over it (You'll get over it),0
"Big bills, big bills",0
I get the fire and I aim at your noon,0
"I'm on your a**, b****, huh",0
"Any promises now, can we, babe?",1
'Cause it feels so right,1
"Rich Homie Quan, The Most",1
"(Tay Keith, f*** these n****s up)",0
Spielbergs and Kubricks,1
"She need help, I'ma send her a dime",0
"Rain on me, rain, rain",1
"Yeah, uh, what that mean?",0
"Hold, hold on, hold on to me",1
And I ain't with the talk or discussions (Look),0
"Oh my god, oh my god. Girl, ain't that Zay and Zayion?",1
"My bad, my bad for, trippin' on you (Trippin' on you)",1
"Hugh Hefner died, so I can't get bunny top",0
Wow.. shetty shetty,0
"Police get behind me, I'ma press the gas, I'm just gon' keep stompin'",0
It feels like you don't care,1
"Back and I've just begun, ""FACK"" 2017",0
"Ooh, you needed me",1
"You love it how I touch you, my one",1
I got killers to the left of me (Mhmmhm),0
I swear my money get serious,0
Love my friends to death,1
If I don't pull myself from the jaws of defeat and rise to my feet,0
"d***, I'm gonna need a f***in' man (Man)",1
You've never seen it look so easy,1
"Tell me, tell me, do you love me? (Yeah)",1
"But baby, I know you know how it's supposed to be",1
"We do it again, again and again, ooh",1
No good at giving you up,1
"Uh, uh, uh, uh, yeah",0
"Date me, break me, easily replace me",1
You're stuck in my head and I can't get you out of it,1
Until a n**** play with me and he get popped (Yeah),0
"Pusha T, Numbers on the Boards",1
I don't feel pain anymore,0
"Before I dropped Stoney, none of y'all really cared (Cared)",0
"A mil' in the bank, chameleon paint turned cranberry",0
From the breaking of the day to the middle of night,1
And at the time I was goin' through my own struggles too,0
Believe it or not,0
"f*** the club up, f*** the club up (b****!)",0
"I got two twin Glocks, turn you to a dancer",0
"Yeah, the paint could peel, the glass could shatter",1
"Not on the list, I ain't got no name",1
"Ain't no stress on me Lord, I'm movin' forward",0
"So, where are ya? It's been a little while",1
"Yeah, all the time (All the time), all the time (All the time)",1
And these n****s know I been a boss,0
"Family a beast, we gon' eat us a supper",0
"Don't come 'round here like we friends, you know I don't know you",0
"Ooh, I fall apart",0
God is the only man I fear,0
Is it too late to say I'm sorry now?,1
I've always wanted what was off limits,1
"I used to steal from my grandmama change drawer just to flex on them lil' bitty b****es, I be like (uh)",0
"Made a hundred M's, shouldn't doubt me (Yeah)",0
We ain't stressin' 'bout the loot (Yeah),0
"I can't go out, no way I'ma go out",0
"f*** the place up, f*** the place up",0
I scuffed 'em runnin' from 12 (12),0
Then you're the one who's got a hold on me,1
And I missed you in the basement,1
"50K, you could come and book a n**** for a plug walk",0
"Bow! Get the f*** though, I don't bluff, bro",0
"But they speakin' on us, jewelers quote us even numbers",0
"To me, your love is suicidal (Ooh)",0
I got further than them hoes said I will ever get,0
Then you went and called Jimmy (Facts),0
"Got a b****, yeah, she live in New York",0
Only love can conquer all and move mountains,1
"Trashcan, Tascam and ashtray",0
"Mmm, and nothing breaks like a heart",1
But they can't turn me on,1
Isn't it? Isn't it? Isn't it? Isn't it?,1
"In the kitchen, wrist twistin' like it's stir fry (Whip it)",0
"We f***in' up the mall, if you like it, then you get it (Like it, then you get it)",0
"And I'm just playin', Diddy",0
"I sell myself short if I grin, I'm bargainin' then",0
Where did your friends all go? (Woo),0
I like the way you wind up your hips (Eh),1
You are somebody that I don't know,1
"Hey baby, waste your time with me in California (California)",1
I'll be ridin' shotgun underneath the hot sun,1
"I'm so into you, I can barely breathe",1
Yelling back and forth,1
"When you nod your head yes, but you wanna say no",1
"Sippin' out the coffee cup, my Presidential face a hockey puck",0
She see money all around me,0
"('Cause I've been smoking a lot, and I've been drinking)",1
"Hear my G4 engine vroom, yeah",0
"OG's said, ""You f***in' the block up""",0
Your every picture,1
Say you'll see me again,1
"Baby this a Moncler sweater, Diesel denim",0
"Top to the bottom, just cool (Cool)",1
That's with the n****s we followin',0
"We could be the greatest, ones who never made it",1
I'm a star so I put a neutron on my pinky,0
I'm dead in the middle of two generations,0
No one can be just like me any way,1
"Baby girl just wanna have fun with it, hey",1
"Got the game from Big, he guarded me",0
"Oh God, cause now you got me missing you",1
"Wait, wait, got the eeriest feelin'",0
Ain't nobody watchin' (I feel it's fadin'),1
"Yeah, baby, you are",1
How deep is your love?,1
"Everybody knows, we got unfinished business",1
The rise to the top of this mountain has been biblical,0
"Champagne is the alias, but no cease and desist in I",0
I didn't know that I was starvin' 'til I tasted you,1
"Said you wanted to see me thrive, you lied",0
"Had a wedding for my Glocks, call 'em Jay and Bey (21)",0
I couldn't picture changes,0
And it's called black magic,1
"Plug was a f***ing Arabi, it's no cap, slime",0
"Let it rain (Let it rain, let it rain)",1
No cure for the IG disease (No cure),0
I bless the rains down in Africa (I bless the rains),1
"Stuck with you, stuck with you, stuck with you",1
It's really gonna be the minute we hit a shift,0
"And all my young n****s pullin' triggers, we gorillas",0
"Ayy, ayy, I done dosed off",0
I'm up in all the stores,0
"My AP goin' psycho, lil' mama bad like Michael",0
"Moment frozen, sneakin' out, and fallin' in love",0
I'm Slaughter Gang Savage,0
Let's ask Interscope,0
My saddest days are without it,0
I wanna see you bust down,0
I'll go back to you,1
"Diamonds on my neck, frozen tears (Tears)",0
"(Whoa whoa whoa whoa, yeah, yeah, yeah, yeah)",0
"I'm from the gutter (Hey), ain't no changing (Nah)",0
Or tell me if it be this glizzy steady spittin' out fire,0
"I'm just sayin', homie",0
"Future, Photo Copied",1
"'Cause I'm so into you, into you, into you, oh yeah",1
All our fears would be irrelevant,1
"I got too many different type of girls, yeah",0
Stuck up on that stage singing,1
We don't need to keep it hush,1
Yadadadadadadada,0
I hope we find our missin' pieces and just chill,1
Why would I waste my time on a shorty that don't got me on the front of her mind?,0
"Singing oh, mama raised me well",1
"I just wanna look good for you, good for you",1
"I don't work in no office, but they copyin' and that's facts though",0
I hope he's wilder than your wildest dreams,1
Lonely (Super lonely),1
Ain't enough (Ain't enough),0
Than when others should've been,0
Beni hayata geri getir,0
Corrupted police been the problem where I'm from,0
'Cause phoning it in isn't any fun,1
Two: Don't let him in,1
f*** me up and make me just go crazy,1
"f*** it up, f*** it up (f*** it up)",0
"Play like I'm dumb, as soon as it pop, I'm goin' retarded",0
Jo bhi mai bolu q aise suune lage jaise ki mai hi hu hero..,0
Don't know what to do without it,0
"Yeah, n****, you gon' die",0
"Turn the music up for me, Chris",0
"Just like that ho, man, I can't keep nothin' (Can't keep a h*), let's go",0
"Gunshot, forward (Forward)",0
"Listenin' to Bono, you listen to Donald",0
"He a million dollar n**** but be posted in the bricks, uh",0
"'Ventador, drop the top, I can't stop speedin'",0
I'm happy you never saw me in college,1
I can still feel the love,0
"Like a hula, hula hoop, hula, hula hoop, oh",1
"Old hunnids, pockets rotted (Cottage)",0
"Watches full of baguettes, pockets full of blue (Yeah)",0
"Can you do it, can you pop it for me?",0
Whatever it takes,1
"Ayy, f*** that b****, my face wasn't in it",0
Like you did on me,1
I wouldn't have space on either hand for anything,0
"Walk away, walk away, oh",1
"Tried me and I killed him, I didn't really have no choice",0
Took it so far to keep you close (Keep you close),1
"I been eatin' chicken, I need me some dental floss",0
You did a number on my health,1
"S Cla**, G Cla**, lotta class (Sss, sss)",0
You don't ever wanna step off that roller coaster,1
"Try to be better, I'll do whatever for mine",1
Now f*** me back together  (now f*** me back together),1
But that'll never happen the way I'm watchin' my step,0
"Run it, run it, run it",1
I'll get you up on your feet,1
You used to be the big spender,1
And I'll never talk about it (About it),0
"No, I don't wanna sit still, look pretty",1
Ask me how many n****s I done put on,0
Lookin' like I still do fraud (Fraud),0
Just let this wash on me (Ooh),0
You don't need no one else,1
"Kanye West ft. Young Thug, High Lights",1
Die for each other,1
"b****es call me a cutie, I'm groovy",0
And with some Backwoods and a lighter just so I could spark,0
"I'ma be forever scheming, woke up, I thought I was dreaming",0
"Tired of love songs, tired of love",1
"Oh, so close, ooh",1
My last girl would tear me apart,1
Can't see nothin' but the money like a blindfold,0
"Y'all know that sound, better raise your fist",0
"And I'ma always keep it solid, I'll never sing",0
I miss your full moon rising,1
"So bring it, so bring it back (Bring it back to me, yeah)",1
"Wavy, not vibin' (Vibin'), ooh, ooh",0
Je n'ai pas besoin d'argent,1
"Like Bandicoot, we 'bout to crash (Crash)",0
"Young Money in the cut like a shank, though",0
"Say my days are numbered, but I keep wakin' up",0
She gon' make you,1
"Yeah, my wrist a Titanic, uh",0
"This is not a, this is not a swan song, swan song, swan dive",1
"But, every shot I'm getting closer, getting closer",1
"Run that back, Turbo",0
You used your love to tear me apart,1
Isn't it? Isn't it? Isn't it?,1
VVS diamonds right behind my lip,0
"His heart was a stone, but then his hands roam",1
"I took the top off the Maybach, oh",0
I heard you told your friends that I'm just not your type,0
n**** like me walk down on your a**,0
"DC, OVO, we back again, we goin' plat' (Ooh, ooh)",0
"Count up a hundred, throw racks at it, uh",0
"Lauv, ~how i'm feeling~",1
"'Til I got pulled right into your issue, yeah",1
"Yo, now let me hit you back",0
What are you willing to do?,1
Come on and give me some love tonight,1
Seen the jakes and a n**** had to get low,0
"Baby I wanna, I wanna know",1
This is what you call a flip,0
"And if I trust you, better say that you trust me",0
"Makin' plans from the East, makin' bands in the West",1
"1942, I take you back in that 'Rari",0
"So come away, starting today",1
She took my heart and left me lonely,0
"Funfetti, I'm ready; I need it every night",1
I gotta stay outta Gucci (woo),0
Heartbreak hotel,0
I'm poppin' s*** like a dude,0
But they don't really miss ya,0
We made these memories for ourselves,1
"It could be love, it could be",1
Wish death 'pon me,0
"She just wanna dance, dance for a while",1
"(Taste, taste), New York, do you love the taste?",0
'Cause I like you,1
If all it is is eight letters,1
Show me what you do now,1
"Woke and I'm hip to the game, so I'm thankful",0
"Sent her back to who she with, now she screamin', ""Why I'm with him?""",0
We looked up to the killer and dealers,0
"You ain't coming out your shell, you ain't really been yourself",1
Ten years in and y'all yet to hear my most impressive verses,0
"I won't never sell my soul, and I can back that",0
You shoulda never let me go,1
"Red light, green light, they like",0
"Earn your promotion, I'll give you a raise (Raise)",0
Blast that s*** back if you blastin',0
"My new chick one hundred, and she got her own dinero, zero",1
I've been goin' hard 'til my eyes roll backward,1
You start to tremble and your voice begins to break,1
You could DM my accountant,0
Baby got a ego twice the size of the crib,0
"It's just, uh, it's just us, it's just us",1
If I shall die before I wake,1
"Drive down to the coast, jump in the sea",1
"Tryna hide from the camera, I ain't goin' outside today",0
I was afraid to leave you on your own (Ooh),1
"Dirty a**, Maryland a** n****",0
"And laugh with each other about these days, these days",1
I feel like a young John Cusack,1
"His missus like sippi now, uh",0
"Skepta, Ladies Hit Squad",1
"(You know it, you know it)",1
And you're makin' the typical me break my typical rules,1
"Don't turn me down (Turn it down, baby)",0
All these t***s on Christian Mingle,0
"When I taste tequila, oh (When I, when I, when I)",1
"We only got one life, so let's go hard 'til the day we die",1
And that's okay,1
"Mike Amiri jeans, fill 'em up with knots",0
I flew past the whip with that blunt in my mouth,0
Cause I'm dyin' to give it to someone (give it to someone),1
"You gotta survive, ain't sparing no lives, F&N pop at your beanie (Hey)",0
"Pipe that s*** up, TNT",0
And the worst type of sadness you could have,1
"I heard this boy was a clown, ooh (Was a clown)",0
Please leave me stranded,1
"Ain't no love, ain't no love lost",0
Wheezy outta here,0
"Oppositions mad, if they play they gettin' popped quick",0
Goin' nuts (Yeah),0
Even if we both break down tonight,0
"You wanna smoke, drink, dance until the sun rise",0
You in the mob soon as you rock the chain (Mob),0
Don't know what's come over me,1
"Nunca me vieron caer, nah, nunca",0
"Bustdown or plain jane, I got options",0
"I shine my wrist, it go like shashasha, shashasha",0
"Wasted, GTA love, b****es wasted",0
I've been buildin' these billionaire ties (Ties),0
"Oh, we don't talk anymore, like we used to do",1
"Like, boy, give my motherf***in' s*** back",0
And I remember thinking,1
What's on your mind for later tonight?,1
"Fast forward, them kids is grown and they blowing trees",0
"Straight from the bottom, blow a bag on my bros, oh, yeah, yeah",0
And when I am deceased,1
"Hailee Steinfeld, Half Written Story",1
"Yeah, this Lil Uzi Vert",0
Don't know when we going home but your friend could come along,1
"My head is spinnin', from smokin' the chicken, the bass is kickin'",0
(Wheezy outta here),0
"Pullin' on your panty strings, put 'em to the side, oh",0
And I can't help myself no more,1
"Now I feel glorious, glorious",0
Just for the night,1
"No, no, we don't give a... anymore",1
We hold each other,1
"Lil Top, yeah, mmh, that Lil Top now",0
"Low key, low key, you should really get to know me",1
Tired of women that may tag me in pictures airin' my dirty laundry,0
You gon' gain the whole world,0
"Just back it up, hot talk, yeah, back it up",1
"Yeah, my b**** rock all Fenty",0
"Down, down, down, down, down",1
"I just got a ""Gucci Gang"" medal though (Chyeah)",0
"I have her dream this that 200 on the dash, got me feenin'",1
You used to be on my line,0
I'm like a Marlboro Man so I kick on back,0
You the baddest one I ever seen,1
So let the river run,0
"I'm in my savage mood, put a lil' back into it",0
Got my main h* put up,0
"In the hood, hollerin', ""Free Meek""",0
"I'm writin' down names, I'm makin' a list",0
"To feel a little more, and give a little less",1
I invest a couple mil' and let my money work for me,0
"I'ma get it, keep tryin', there's no reason for the cryin'",0
"Thank you, next (Thank you, next)",1
"And somewhere deep down, f*** it, I gotta keep it real",0
I f***ed that b**** in the back with the Burberry on,0
"You ain't gotta worry, don't care about your boyfriend",0
"If we don't hold hands, you'll be killing me now (Killing me now, no, no, no, no)",1
She'll kiss your neck with no emotion,1
"A flawed human, I guess",0
Too much for you alone,0
"Oh I ask myself, what am I doin' here?",1
"Way in the hills, I'm high in the climate",0
"Paid the J's to cut on my mama's lights, n****",0
Do you know the '09 to the 2T? (Bah),0
Guess heaven's not that far away,1
Ridin' my bike like I'm too young to drive,1
"To my lover, I'd never lie (I love you baby)",0
When you come around,0
"Money been here, the body's in here",0
I thought you were the one who would change my life,1
"Don't know what else to try, but you tell me every time",1
"Make that jump, jump",0
I told him the other day,0
"b****, be careful where you dumpin' your ashes",0
Everything is blue,1
"How you deal with all that hate?"" (Hate)",0
Hate when I creep and the phone wake me up,0
Come through rockin' fashions,0
But I guess it's never really over,1
"You were made outta plastic, fake",0
The IRS your new best friend,1
"You said, ""What I look like?"" Like my b****, yeah",0
Woke up to honkies sounding like me,0
"Er sagte, ich muss",1
"Yes, I stay with some money on me (Money)",0
We could be the greatest team that the world has ever seen,1
I see my opps through the sight (Uh),0
I'll never meet the ground,1
Am I falling in love with the one that could break my heart?,1
The woman I do end up with has to be a bad gyal just like Munchie,0
I won't fall to the ground on my knees (On my knees),1
"All I know are sad songs, sad songs",1
"She ain't take my heart, but she took my medicine",0
"I got money, they envy me (I got money, they envy me)",0
"Now your b**** wanna kick it, Jackie Chan",1
"Yeah, you're a natural",1
You don't wanna be high like me,1
"All fast money, no slow bucks",1
"Waste it on me, waste it on me",1
"Hoppin' out of stolen cars, and we shoot chops at opps",0
"Ay, come flex with Zoo 'til it's over, yeah babe",1
"Down and confused, I know",0
"The greatest, the greatest alive",1
"He got half like he pulled up just with a crop, woah",0
But they can't turn me on (Can't turn me on),1
"Destiny said it, you got to get up and get it",1
"Younger me? No, you the wack me, it's funny but so true",0
"I'm ready for this, there's no denying",1
"Like ring, ring, ring, ring, ring, ring, ring, ring, ring, ring, ring!",0
We call them chopsticks 'cause they gonna chop,0
If you go and look under the surface (Surface),1
(Vous souhaiterez que vous n'avez jamais),1
"Bend it over, over, over, over, over, lift it up",0
I don't even like dubs in mine (Alright),0
"That's my name, don't wear it out though",1
Turn the power off and get your water from the spring (Spring),0
"Turn the heat up, ain't nobody hot as me",0
Makin' that sign must've taken all night,1
"I made a hundred thou', then I freaked it (I freaked it)",0
"But I know that I'm special (So special), yeah",1
And I keep on climbing up,1
"And I really wanna know where you at, at, hah",0
"Weed is so strong, I feel like I'm Popeye off the spinach",0
We are the new Americana,1
"When you don't want me to move, but you tell me to go",1
Baby you were mine to lose,1
I don't even wanna go to your house,0
"Mannie Fresh, Hate",1
"Enemies, yeah, it's so sad",0
The way that I been ballin' should make the cover of 2K,0
I cannot blame you,0
"d***, that a** bustin' out the bottom",0
"21. Kelsea Ballerini, kelsea",1
Are we in the clear yet? In the clear yet? Good,1
And if you like having secret little rendezvous,1
"Bring it up now, bring it, bring it up now",1
"A Tribe Called Quest, Award Tour",1
Tryna put the water on my Patek (Mhmmhm),0
Why'd you have to go and make me like you?,1
"I send 'em, they lurkin', n**** (Baow, baow, baow, baow)",0
"All about my racks, hella cheese, I don't f*** with rats (No)",1
"But she got that a**, though, told her how to throw it right",0
I'll make the most of the minutes and love with no regret,1
I used to stay out later on purpose,0
"Lil' n****, pipe down, choppa make ya pipe down",0
"Ooh, at the night show",1
"I groove around, party pack my hand",0
Keep his d*** wetter than the cruise ship,1
"Oh yeah, oh yeah",1
"Let's find a light inside our universe now (Mmm, yeah)",1
Ain't gon' be no more laughin',0
"And you just wanna hear some chune, some music",0
"Low key, low key, you should really get to know me",1
"Roof was on, let me, love me",1
"Yeah, it's a new life",1
"You don't need to have your celebratin' (Sing it, Kesha, b****)",1
Split second and you disappeared and then I was all alone,1
"Saying that you got that game, baby, demonstrate",1
"Please just look me in my face, tell me everything's okay",1
Hope you killas understand me,1
"Overseas, I got plenty of the tings, all pretty foreign tings",0
High off the motherf***in' medicals (Up there),0
"I'ma keep on flexin', you don't like me then I'm sorry (Sorry)",0
This may be the night that my dreams might let me know,1
Watermelon sugar high,1
"Oh, girls just wanna have fun with it (Fun with it)",0
"Yeah, I already done everything I dream",1
"That we could work it all out, don't you worry (Yeah, yeah, yeah)",1
I want you to ruin my life,1
But I still had to ride with that strap,0
And you are unforgettable,0
Kissing the sky,1
"Huh? You feel alone? Yeah, I kinda feel alone",0
Won't ask you to stay,1
"f*** her in a drop top, now she screamin', ""Sky's the limit""",0
"And f*** the place up, f*** the place up (woop)",0
"Remy Boyz, they know us",1
Blaming you is just so easy (Oh),0
"We got FN's and Glock 10s, ten millimeter",0
Homicide for you,0
I'm swimming up against the tide,1
"I want your love, just lead me on",0
"Yeah, chain gang",0
"Changed your mind when I changed my life, better start believin' in myself",0
"No remorse, I put five to your dash (b****)",0
"Got a watch on my wrist, cost a house",0
"I got juveniles who steppin', totin' on dirty pistols, yeah",0
"When I wake up (Yeah, yeah)",1
"She got B's, spend some cheese, now they double D's",0
"AP, Muller, my Rollie",0
"Ooh, you keep me coming for ya",1
"Real a** b****, give a f*** 'bout a n****",0
"I don't like nobody but you, baby, yeah",1
"Yeah, yeah, or I'ma get the pad",0
"That's why they call me Kamikaze, it's plain suicide, yeah",0
You're just a devil undercover (Undercover),0
No walk of shame 'cause I love this dress,1
We could leave the Christmas lights up 'til January,1
"And you know, you know",1
"You know I'm ballin', usual like Kobe (24)",0
Down Southside by the 'jects,0
Mama told us we were good kids,1
"d***, I'm really sorry you want me to have a heart attack",0
"She keep tryin' to f***, I told her top me for now (On God)",0
Runnin' up a check with no limit (Chyeah),0
"I ain't grow up playin' ball, but I'll show you how the f*** you gotta do it",0
"It's hard for me to open up, I'll admit it (I'll admit it)",1
That is just outside Galveston (That no one saw coming),0
"901 Shelby Drive, look alive, look alive ('Live)",0
"Baby, break a sweat",1
"With the dope (Gettin' rich), with my bros (b****, s***)",0
Holding me close until our eyes meet,1
"God's given me all this, still I feel no different regardless",0
That girl is a real crowd pleaser (oh yeah),1
You bled me dry just like the tears you never show,1
"You're alone, going out of your mind",1
"Sometimes you gotta stay in, in",1
"Want another taste, I'm begging, yes ma'am",1
"We was on the east side, we f***ed",1
"Got real big titties (Sos', baby)",0
"n****s hatin' 'cause I'm chosen from the concrete, I had rose",1
She'll leave you shook,1
"Whole lot of, whole lot of hoes, whole lot of, whole lot of meds",0
When I told you all my feelings that night?,1
"Eastside n**** f***in' all the hoes, and I love guns",0
I bet you don't kiss her with your eyes closed,1
"Tailor my clothes, no starch, please",0
Champagne got me loopy,0
"Roof was on, let me, love me",1
"So give me the green light, give it to me",1
Yesterday spent 40K on a necklace,0
"You ain't really wild, you a tourist (A tourist)",0
"You know I say that I am better now, better now",0
"Go in with no pen and pad, I got this s*** right on my sleeve",0
"Goodbye letter, ""Dear Life"" s***",0
Run inside your room and kill you and who you roomin' with,0
"Ooh, it's something magical",1
"You just countin' the money, I'm drownin' in money",0
Then turn this motherf***er up eight hundred degrees,0
We are not playing with the same check,0
I'd wanna be me too,1
Just because it's over doesn't mean it's really over,1
"I was spendin' (Yeah, yeah)",0
And help another b**** out the whip,0
"Seen this movie a hundred times, I know where it's headed",0
"We havin' the lean, exotics, and percs, she havin' the X pill (Lean)",0
"You must be famous (Yeah, oh my God I must be famous)",0
They using my name for clickbait (Clickbait),0
From the day that I met you (Day I met you),1
Without no coat I was walkin' and meditatin' in the rain,0
Of everything we've been through,1
"b****, I never let the bulls*** get past me",0
Top off the coupe and it look like Freaknik,0
"If it was me, I would tell you, ""n****, live your life and grow""",0
"Hey yeah, hey yeah, hey yeah",1
And you want me?,1
Away from all of reality,1
"Cause I'm ready to go, oh, oh, oh",1
"I don't f*** with nobody, yeah, you hardly know me (You don't know me, know me)",0
"n****, we hungry",0
Are we out of the woods yet? Are we out of the woods yet?,1
I found my footing on my own,1
"Window cracked, bumpin' your reference tracks",0
AR toting (Straight up),0
I don't have it all (I don't have it all),1
"In the kitchen, wrist twistin' like it's stir fry (Whip it)",0
You can just be yourself,1
Don't let my heart turn cold,0
"Go ahead, go ahead now",1
I flash and beat a n**** a** with this fifty ball (I don't need no clique),0
Do anything for clout (Anything),0
